id,merchant,nomor_telepon
1,Solaria,0833184109649
2,McDonalds,0833488177685
3,McDonalds,0833249100687
4,Solaria,0833483435480
5,KFC,0833114405765
6,KFC,0833499380832
7,KFC,0833464916699
8,McDonalds,0833507574092
9,KFC,0833429935975
10,McDonalds,0833830293922
11,KFC,0833482989066
12,KFC,0833215021128
13,KFC,0833428346311
14,McDonalds,0833922082060
15,McDonalds,0833756921701
16,McDonalds,0833209996762
17,McDonalds,0833742099992
18,Solaria,0833944057540
19,KFC,0833816017257
20,McDonalds,0833973191900
21,KFC,0833618440331
22,KFC,0833509784550
23,Solaria,0833050245763
24,KFC,0833568459302
25,McDonalds,0833876195632
26,KFC,0833822247585
27,McDonalds,0833483430710
28,Solaria,0833153258706
29,McDonalds,0833324386104
30,Solaria,0833676219943
31,Solaria,0833876740569
32,McDonalds,0833642648015
33,McDonalds,0833885875581
34,McDonalds,0833383971496
35,KFC,0833441696915
36,McDonalds,0833174326254
37,KFC,0833581614334
38,McDonalds,0833139986221
39,KFC,0833885862769
40,Solaria,0833441129934
41,Solaria,0833246866436
42,KFC,0833994769674
43,KFC,0833800436782
44,McDonalds,0833990822773
45,McDonalds,0833579402878
46,Solaria,0833972185563
47,KFC,0833685713275
48,Solaria,0833697929912
49,KFC,0833926185149
50,McDonalds,0833828944098
51,Solaria,0833089700765
52,KFC,0833859178161
53,Solaria,0833755262559
54,KFC,0833797606131
55,McDonalds,0833454146786
56,McDonalds,0833887929465
57,KFC,0833036874127
58,Solaria,0833308557877
59,Solaria,0833544335466
60,McDonalds,0833870426670
61,Solaria,0833232663401
62,McDonalds,0833386601801
63,Solaria,0833501953778
64,Solaria,0833490095577
65,KFC,0833504255786
66,McDonalds,0833768809608
67,Solaria,0833034437213
68,Solaria,0833575047030
69,McDonalds,0833876728750
70,Solaria,0833922662597
71,Solaria,0833597234310
72,McDonalds,0833839738846
73,Solaria,0833409147993
74,KFC,0833884537322
75,McDonalds,0833915360430
76,KFC,0833700025847
77,Solaria,0833897099009
78,KFC,0833946934434
79,KFC,0833160539479
80,McDonalds,0833611306707
81,KFC,0833329360238
82,Solaria,0833039151375
83,McDonalds,0833736079682
84,Solaria,0833082348596
85,Solaria,0833086175578
86,McDonalds,0833698318797
87,KFC,0833334418747
88,McDonalds,0833438936484
89,Solaria,0833584361843
90,KFC,0833248252459
91,Solaria,0833286158753
92,McDonalds,0833474556920
93,McDonalds,0833127684548
94,Solaria,0833722183515
95,KFC,0833364571148
96,KFC,0833175469953
97,McDonalds,0833110026980
98,Solaria,0833564158957
99,KFC,0833069004924
100,Solaria,0833037500120
101,Solaria,0833122672159
102,Solaria,0833467054570
103,KFC,0833973215153
104,McDonalds,0833126245059
105,KFC,0833156112259
106,McDonalds,0833348842750
107,McDonalds,0833876675026
108,Solaria,0833624793207
109,KFC,0833842935955
110,Solaria,0833416237967
111,Solaria,0833672501213
112,KFC,0833958252814
113,Solaria,0833284330433
114,McDonalds,0833834422212
115,Solaria,0833167280093
116,Solaria,0833038378312
117,McDonalds,0833452404145
118,KFC,0833962506973
119,Solaria,0833261261665
120,Solaria,0833550882255
121,Solaria,0833582257532
122,Solaria,0833539480141
123,Solaria,0833951778743
124,KFC,0833032310466
125,Solaria,0833484978338
126,McDonalds,0833680764560
127,McDonalds,0833331980709
128,Solaria,0833432454847
129,McDonalds,0833358747578
130,McDonalds,0833412946653
131,KFC,0833592445434
132,McDonalds,0833457135924
133,Solaria,0833488197140
134,McDonalds,0833582182619
135,McDonalds,0833120546511
136,Solaria,0833635765350
137,McDonalds,0833005335643
138,McDonalds,0833067282078
139,McDonalds,0833189618907
140,Solaria,0833674491093
141,McDonalds,0833328762667
142,Solaria,0833963202554
143,KFC,0833066819092
144,Solaria,0833060792320
145,KFC,0833772047788
146,McDonalds,0833581871728
147,McDonalds,0833466617463
148,Solaria,0833856452288
149,McDonalds,0833461761765
150,KFC,0833390733098
151,KFC,0833697597132
152,McDonalds,0833988061858
153,Solaria,0833331872502
154,KFC,0833477831838
155,McDonalds,0833738357144
156,KFC,0833835464016
157,Solaria,0833496793046
158,McDonalds,0833781105710
159,Solaria,0833803877011
160,KFC,0833478559016
161,KFC,0833279380678
162,Solaria,0833968185150
