id,merchant,nomor_telepon
1,KFC,0833796348087
2,Solaria,0833256311790
3,Lotteria,0833824189554
4,KFC,0833486482866
5,McDonalds,0833502079676
6,Lotteria,0833051126304
7,Nasgor Pocin,0833350423724
8,Lotteria,0833913110898
9,Solaria,0833101104747
10,Solaria,0833890317854
11,McDonalds,0833635917787
12,KFC,0833578635158
13,McDonalds,0833651762302
14,Solaria,0833739398358
15,Lotteria,0833424912265
16,McDonalds,0833672612947
17,McDonalds,0833325557404
18,Nasgor Pocin,0833110130367
19,McDonalds,0833108230425
20,Lotteria,0833649361490
21,KFC,0833306176583
22,Solaria,0833259768608
23,KFC,0833618182097
24,Nasgor Pocin,0833475118411
25,Lotteria,0833672480582
26,McDonalds,0833498506534
27,Solaria,0833721000497
28,Lotteria,0833152576827
29,Solaria,0833898673592
30,Nasgor Pocin,0833180124044
31,KFC,0833972446107
32,Nasgor Pocin,0833294035972
33,Solaria,0833356749375
34,Solaria,0833278002518
35,Solaria,0833949080002
36,Nasgor Pocin,0833492976576
37,McDonalds,0833560291505
38,Lotteria,0833273612756
39,Nasgor Pocin,0833447808621
40,Nasgor Pocin,0833462127647
41,Nasgor Pocin,0833724073660
42,Nasgor Pocin,0833306479546
43,KFC,0833084762155
44,KFC,0833074534247
45,Solaria,0833831093242
46,KFC,0833884213551
47,Nasgor Pocin,0833382112678
48,Lotteria,0833355607679
49,McDonalds,0833527424196
50,Solaria,0833804563606
51,McDonalds,0833985121214
52,Solaria,0833679710237
53,KFC,0833019341976
54,KFC,0833640038020
55,KFC,0833328614811
56,McDonalds,0833556506335
57,Solaria,0833211312228
58,Lotteria,0833355569554
59,Solaria,0833719025228
60,KFC,0833918835972
61,McDonalds,0833475874330
62,Solaria,0833972953063
63,Solaria,0833951553027
64,Lotteria,0833751473234
65,Nasgor Pocin,0833133793511
66,KFC,0833111515426
67,KFC,0833544036145
68,KFC,0833477779478
69,Nasgor Pocin,0833670119031
70,Nasgor Pocin,0833625772819
71,McDonalds,0833014280595
72,KFC,0833803998006
73,Lotteria,0833662038973
74,McDonalds,0833667571257
75,KFC,0833670683008
76,KFC,0833012748485
77,Solaria,0833460483694
78,Lotteria,0833250508089
79,Solaria,0833235126793
80,Lotteria,0833224748088
81,McDonalds,0833638326015
82,Nasgor Pocin,0833429772735
83,Solaria,0833334430966
84,Solaria,0833108319650
85,Lotteria,0833059536054
86,Nasgor Pocin,0833320465785
87,KFC,0833111048979
88,Nasgor Pocin,0833155163689
89,Nasgor Pocin,0833894426667
90,KFC,0833955111179
91,Nasgor Pocin,0833069041829
92,Nasgor Pocin,0833183483129
93,McDonalds,0833527796031
94,Nasgor Pocin,0833205165669
95,KFC,0833847867830
96,Nasgor Pocin,0833938447171
97,Nasgor Pocin,0833912835291
98,KFC,0833060765876
99,Lotteria,0833957766679
100,KFC,0833996695323
101,Nasgor Pocin,0833685222124
102,KFC,0833768600738
103,McDonalds,0833905347180
104,KFC,0833272149817
105,Solaria,0833507211010
106,Lotteria,0833453207796
107,Nasgor Pocin,0833103127839
108,Nasgor Pocin,0833165831025
109,Nasgor Pocin,0833201051943
110,Lotteria,0833335423382
111,Lotteria,0833779218231
112,Nasgor Pocin,0833384463169
113,McDonalds,0833140029834
114,Solaria,0833335939722
115,Lotteria,0833640777999
116,Nasgor Pocin,0833068565783
117,Lotteria,0833803715455
118,Solaria,0833893990227
119,Lotteria,0833640708075
120,Solaria,0833819845315
121,Lotteria,0833559979376
122,Lotteria,0833244889213
123,Solaria,0833504530991
124,McDonalds,0833639082505
125,Nasgor Pocin,0833579846554
126,McDonalds,0833294992466
127,Lotteria,0833421934367
128,Lotteria,0833490341610
129,Solaria,0833034090123
130,Lotteria,0833912575264
131,Lotteria,0833334740573
132,Lotteria,0833188351774
133,Solaria,0833021053757
134,KFC,0833832771748
135,McDonalds,0833490112223
136,Nasgor Pocin,0833324413734
137,KFC,0833905679661
138,KFC,0833599420634
139,Nasgor Pocin,0833557578798
140,Solaria,0833669582305
141,Nasgor Pocin,0833074861651
142,KFC,0833312134420
143,McDonalds,0833448961091
144,Nasgor Pocin,0833335083567
145,Nasgor Pocin,0833979645810
146,Lotteria,0833515502003
147,Nasgor Pocin,0833574838124
148,Solaria,0833463240522
149,Solaria,0833091815843
150,KFC,0833816285275
151,Nasgor Pocin,0833217671703
152,KFC,0833580620796
153,Solaria,0833000609694
154,McDonalds,0833414854984
155,Lotteria,0833031854554
156,McDonalds,0833082436903
157,Solaria,0833742867066
158,McDonalds,0833756463990
159,Nasgor Pocin,0833404837939
160,Lotteria,0833757700126
161,Lotteria,0833119547298
162,Nasgor Pocin,0833001400119
163,Nasgor Pocin,0833778723883
164,Lotteria,0833185331774
165,Nasgor Pocin,0833137911014
166,KFC,0833352479211
167,Solaria,0833097151728
168,KFC,0833298941999
169,Lotteria,0833757868910
170,KFC,0833266214628
171,McDonalds,0833691927849
172,Solaria,0833839268162
173,Nasgor Pocin,0833772493323
174,Nasgor Pocin,0833433246373
175,McDonalds,0833181607386
176,McDonalds,0833040567244
177,Solaria,0833726497954
178,Solaria,0833766900466
179,KFC,0833363114914
180,McDonalds,0833724738315
181,McDonalds,0833066124811
182,Lotteria,0833128278070
183,McDonalds,0833827000566
184,McDonalds,0833573433695
185,KFC,0833742892477
186,KFC,0833655888875
187,Nasgor Pocin,0833836509516
188,Lotteria,0833920825053
189,Solaria,0833647861184
190,Lotteria,0833362064786
191,KFC,0833934953345
192,Solaria,0833704883061
193,Lotteria,0833387163582
194,McDonalds,0833684839549
195,Lotteria,0833842389356
196,McDonalds,0833666214811
197,Nasgor Pocin,0833171932843
198,Lotteria,0833276122226
199,Nasgor Pocin,0833038736837
200,McDonalds,0833852718669
201,Solaria,0833243977957
202,Nasgor Pocin,0833045122162
203,McDonalds,0833395377326
204,KFC,0833009728087
205,KFC,0833766044383
206,Solaria,0833525186844
207,McDonalds,0833063043408
208,Solaria,0833845667926
209,Nasgor Pocin,0833290875725
210,McDonalds,0833024642527
211,Nasgor Pocin,0833215248575
212,McDonalds,0833323583226
213,Solaria,0833396011834
214,Lotteria,0833801002347
215,McDonalds,0833223796989
216,KFC,0833848830414
217,Solaria,0833104046343
218,Nasgor Pocin,0833148485371
219,Solaria,0833015642641
220,Solaria,0833513850401
221,KFC,0833253719348
222,McDonalds,0833237243109
223,Solaria,0833652225599
224,McDonalds,0833981831452
225,Solaria,0833451952248
226,McDonalds,0833127785015
227,Nasgor Pocin,0833844219824
